seq	C	
712	0.152
713	0.152
714	0.153
715	0.152
716	0.153
717	0.153
718	0.152
719	0.152
720	0.153
721	0.152
722	0.152
723	0.153
724	0.153
725	0.152
726	not receive
727	0.152
728	0.153
729	0.152
730	0.153
731	0.153
732	0.153
733	0.153
734	0.152
735	0.153
736	0.152
737	0.153
738	0.152
739	0.153
740	0.153
741	0.152
742	0.152
743	0.152
744	0.152
745	0.152
746	0.153
747	0.152
748	not receive
749	0.152
750	0.153
751	not receive
752	0.152
753	0.153
754	not receive
755	0.152
756	0.152
757	0.153
758	0.153
759	0.153
760	0.153
761	0.153
762	0.153
763	0.153
764	0.152
765	not receive
766	0.153
767	0.152
768	0.152
769	0.153
770	0.152
771	0.152
772	0.153
773	0.153
774	0.153
775	0.152
776	0.152
777	0.153
778	0.152
779	0.152
780	0.152
781	0.152
782	0.153
783	0.153
784	0.152
785	0.153
786	not receive
787	0.152
788	0.152
789	0.153
790	0.153
791	0.153
792	0.153
793	0.152
794	0.152
795	0.153
796	0.153
797	0.153
798	0.153
799	0.153
800	0.153
801	0.152
802	0.152
803	0.153
804	0.152
805	0.153
806	0.153
807	0.152
808	0.152
809	0.153
810	not receive
811	0.153
812	0.153
813	0.152
814	0.152
815	not receive
816	0.153
817	0.152
818	0.152
819	0.153
820	0.153
821	0.152
822	0.152
823	0.152
824	0.152
825	0.152
826	0.153
827	not receive
828	0.153
829	0.152
830	0.152
831	not receive
832	0.153
833	0.153
834	0.153
835	0.152
836	0.153
837	0.153
838	0.152
839	0.153
840	0.153
841	0.153
842	0.153
843	0.153
844	not receive
845	0.153
846	0.153
847	0.152
848	0.153
849	not receive
850	0.153
851	0.153
852	0.152
853	0.153
854	0.152
855	not receive
856	0.153
857	0.153
858	0.152
859	0.152
860	0.153
861	0.153
862	0.153
863	0.152
864	0.152
865	0.152
866	0.152
867	0.153
868	0.153
869	0.153
870	0.152
871	0.152
872	0.153
873	not receive
874	0.152
875	0.153
876	0.153
877	0.152
878	not receive
879	0.153
880	0.153
881	0.152
882	0.153
883	0.152
884	0.152
885	0.152
886	not receive
887	0.153
888	0.153
889	0.153
890	0.152
891	0.152
892	0.153
893	0.152
894	not receive
895	0.153
896	0.152
897	not receive
898	0.152
899	0.153
900	0.152
901	not receive
902	0.152
903	0.153
904	0.153
905	0.152
906	0.153
907	0.153
908	0.152
909	0.152
910	not receive
911	0.153
912	0.153
913	not receive
914	0.153
915	0.153
916	0.152
917	0.152
918	0.152
919	0.153
920	0.153
921	0.152
922	0.152
923	0.152
924	0.153
925	0.152
926	0.153
927	0.152
928	0.153
929	0.152
930	0.153
931	0.153
932	0.152
933	0.152
934	0.152
935	0.152
936	0.153
937	0.153
938	0.152
939	0.153
940	0.152
941	0.153
942	0.152
943	0.152
944	0.152
945	0.153
946	0.152
947	0.153
948	0.153
949	0.152
950	0.152
951	0.153
952	0.152
953	0.152
954	0.153
955	0.153
956	0.152
957	0.152
958	0.152
959	0.152
960	0.152
961	not receive
962	0.153
963	not receive
964	0.153
965	0.152
966	not receive
967	0.153
968	0.153
969	0.152
970	0.152
971	0.153
972	not receive
973	0.153
974	0.153
975	0.152
976	0.153
977	0.152
978	not receive
