seq	C	
824	0.229
825	0.154
826	0.252
827	0.418
828	0.713
829	0.922
830	0.18
831	0.448
832	0.308
833	0.628
834	0.449
835	0.196
836	0.284
837	0.314
838	0.314
839	0.577
840	0.234
841	0.544
842	0.394
843	0.423
844	0.33
845	0.55
846	0.351
847	0.302
848	0.602
849	0.886
850	1.25
851	1.32
852	0.662
853	0.288
854	0.429
855	0.357
856	0.43
857	0.178
858	0.397
859	0.449
860	0.89
861	0.758
862	0.599
863	0.218
864	0.22
865	0.725
866	0.36
867	0.345
868	0.282
869	0.236
870	0.437
871	0.179
872	0.254
873	0.445
874	0.254
875	0.286
876	0.157
877	0.267
878	0.399
879	0.159
880	0.287
881	0.291
882	0.352
883	0.266
884	0.695
885	0.28
886	0.697
887	0.24
888	0.316
889	0.591
890	0.28
891	0.455
892	0.376
893	0.202
894	0.41
895	0.358
896	0.284
897	0.355
898	0.228
899	0.442
900	0.542
901	0.63
902	0.773
903	0.611
904	0.214
905	0.216
906	0.282
907	0.514
908	0.177
909	0.248
910	0.186
911	0.362
912	0.36
913	0.599
914	0.899
915	0.218
916	0.306
917	0.349
918	0.522
919	0.692
920	0.405
921	0.394
922	0.362
923	0.701
924	0.666
925	0.467
926	0.363
927	0.643
928	0.732
929	0.204
930	0.355
931	0.437
932	0.364
933	0.376
934	0.313
935	0.561
936	0.376
937	0.169
938	0.255
939	0.326
940	0.247
941	0.175
942	0.368
943	0.305
944	0.439
945	0.62
946	0.207
947	0.451
948	0.742
949	0.359
950	0.351
951	0.382
952	0.269
953	0.38
954	0.669
955	0.723
956	0.839
957	0.533
958	0.74
959	0.856
960	0.211
961	0.365
962	0.532
963	0.353
964	0.21
965	0.358
966	0.261
967	0.351
968	0.418
969	0.253
970	0.803
971	0.285
972	0.354
973	0.505
974	0.199
975	0.343
976	0.593
977	0.286
978	0.504
979	0.761
980	0.234
981	0.42
982	0.362
983	0.202
984	0.253
985	0.449
986	0.358
987	0.189
988	0.319
989	0.246
990	0.383
991	0.521
992	0.737
993	0.94
994	0.417
995	0.352
996	0.184
997	0.381
998	0.303
999	0.817
1000	1.062
