seq	C	
741	0.466
742	0.235
743	0.426
744	0.581
745	0.767
746	0.492
747	0.276
748	0.307
749	0.358
750	0.569
751	0.662
752	0.249
753	0.351
754	0.405
755	0.22
756	0.363
757	0.409
758	0.213
759	0.233
760	0.34
761	0.408
762	0.28
763	0.452
764	0.275
765	0.358
766	0.193
767	0.395
768	0.398
769	0.663
770	0.207
771	0.445
772	0.655
773	0.411
774	0.374
775	0.228
776	0.212
777	0.301
778	0.308
779	0.437
780	0.414
781	0.381
782	0.264
783	0.349
784	0.153
785	0.45
786	0.288
787	0.253
788	0.381
789	0.214
790	0.295
791	0.242
792	0.534
793	0.248
794	0.309
795	0.386
796	0.415
797	0.372
798	0.301
799	0.595
800	0.234
801	0.435
802	0.685
803	0.36
804	0.198
805	0.439
806	0.206
807	0.43
808	0.422
809	0.329
810	0.442
811	0.44
812	0.303
813	0.219
814	0.275
815	0.238
816	0.258
817	0.506
818	0.286
819	0.397
820	0.369
821	0.506
822	0.24
823	0.444
824	0.351
825	0.244
826	0.26
827	0.439
828	0.7
829	0.436
830	0.174
831	0.45
832	0.572
833	0.436
834	0.305
835	0.396
836	0.445
837	0.704
838	0.355
839	0.295
840	0.434
841	0.279
842	0.375
843	0.272
844	0.435
845	0.408
846	0.447
847	0.326
848	0.442
849	0.156
850	0.277
851	0.255
852	0.306
853	0.19
854	0.234
855	0.459
856	0.259
857	0.277
858	0.273
859	0.242
860	0.391
861	0.248
862	0.28
863	0.49
864	0.247
865	0.323
866	0.465
867	0.333
868	0.461
869	0.164
870	0.425
871	0.394
872	0.243
873	0.159
874	0.319
875	0.448
876	0.473
877	0.396
878	0.394
879	0.233
880	0.167
881	0.454
882	0.182
883	0.368
884	0.275
885	0.163
886	0.453
887	0.317
888	0.533
889	0.253
890	0.24
891	0.206
892	0.337
893	0.235
894	0.514
895	0.444
896	0.546
897	0.474
898	0.244
899	0.337
900	0.217
901	0.249
902	0.254
903	0.222
904	0.209
905	0.185
906	0.312
907	0.45
908	0.451
909	0.434
910	0.167
911	0.18
912	0.195
913	0.319
914	0.397
915	0.176
916	0.453
917	0.448
918	0.321
919	0.548
920	0.233
921	0.198
922	0.254
923	0.21
924	0.242
925	0.407
926	0.553
927	0.567
928	0.591
929	0.261
930	0.55
931	0.387
932	0.313
933	0.583
934	0.547
935	0.641
936	0.799
937	0.277
938	0.559
939	0.285
940	0.266
941	0.219
942	0.161
943	0.196
944	0.321
945	0.421
946	0.208
947	0.22
948	0.408
949	0.187
950	0.416
951	0.156
952	0.436
953	0.526
